"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order"
"[{""page_index"":0,""viewing_time"":838}]","839","Instructions_001","DASS21","instructions","11","13466","0.0-19.0-0.0","","",""
"","1460.0999999940395","DASS21_001","DASS21","survey-multi-choice","12","14928","0.0-20.0-0.0","{""Q0"":""Me ha costado mucho descargar la tensión.""}","{""Q0"":"" Me ha ocurrido un poco, o durante parte del tiempo""}","[0]"
"","1198.800000011921","DASS21_002","DASS21","survey-multi-choice","13","16129","0.0-21.0-0.0","{""Q0"":""Me di cuenta que tenía la boca seca.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1269.2999999970198","DASS21_003","DASS21","survey-multi-choice","14","17400","0.0-22.0-0.0","{""Q0"":""No podía sentir ningún sentimiento positivo.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1276.2999999970198","DASS21_004","DASS21","survey-multi-choice","15","18678","0.0-23.0-0.0","{""Q0"":""Se me hizo difícil respirar.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1561","DASS21_005","DASS21","survey-multi-choice","16","20241","0.0-24.0-0.0","{""Q0"":""Se me hizo difícil tomar la iniciativa para hacer cosas.""}","{""Q0"":"" Me ha ocurrido mucho, o la mayor parte del tiempo""}","[0]"
"","1909.3999999910593","DASS21_006","DASS21","survey-multi-choice","17","22152","0.0-25.0-0.0","{""Q0"":""Reaccioné exageradamente en ciertas situaciones.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1912.6000000089407","DASS21_007","DASS21","survey-multi-choice","18","24068","0.0-26.0-0.0","{""Q0"":""Sentí que mis manos temblaban.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","1878.5","DASS21_008","DASS21","survey-multi-choice","19","25949","0.0-27.0-0.0","{""Q0"":""He sentido que estaba gastando una gran cantidad de energía.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","2004.9000000059605","DASS21_009","DASS21","survey-multi-choice","20","27957","0.0-28.0-0.0","{""Q0"":""Estaba preocupado por situaciones en las cuales podía tener pánico o en las que podría hacer el ridículo.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","2042.5999999940395","DASS21_010","DASS21","survey-multi-choice","21","30004","0.0-29.0-0.0","{""Q0"":""He sentido que no había nada que me ilusionara.""}","{""Q0"":"" Me ha ocurrido mucho, o la mayor parte del tiempo""}","[0]"
"","2094.2000000029802","DASS21_011","DASS21","survey-multi-choice","22","32100","0.0-30.0-0.0","{""Q0"":""Me he sentido inquieto.""}","{""Q0"":"" Me ha ocurrido un poco, o durante parte del tiempo""}","[0]"
"","2096.4000000059605","DASS21_012","DASS21","survey-multi-choice","23","34200","0.0-31.0-0.0","{""Q0"":""Se me hizo difícil relajarme.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","2061.2999999970198","DASS21_013","DASS21","survey-multi-choice","24","36266","0.0-32.0-0.0","{""Q0"":""Me sentí triste y deprimido.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","1445.2999999970198","DASS21_014","DASS21","survey-multi-choice","25","37713","0.0-33.0-0.0","{""Q0"":""No toleré nada que no me permitiera continuar con lo que estaba haciendo.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1252","DASS21_015","DASS21","survey-multi-choice","26","38966","0.0-34.0-0.0","{""Q0"":""Sentí que estaba al punto de pánico.""}","{""Q0"":"" Me ha ocurrido un poco, o durante parte del tiempo""}","[0]"
"","1165","DASS21_016","DASS21","survey-multi-choice","27","40133","0.0-35.0-0.0","{""Q0"":""No me pude entusiasmar por nada.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1201.6000000089407","DASS21_017","DASS21","survey-multi-choice","28","41335","0.0-36.0-0.0","{""Q0"":""Sentí que valía muy poco como persona.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1289.9000000059605","DASS21_018","DASS21","survey-multi-choice","29","42628","0.0-37.0-0.0","{""Q0"":""He tendido a sentirme enfadado con facilidad.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","1340.7000000029802","DASS21_019","DASS21","survey-multi-choice","30","43971","0.0-38.0-0.0","{""Q0"":""Sentí los latidos de mi corazón a pesar de no haber hecho ningún esfuerzo físico.""}","{""Q0"":"" Me ha ocurrido mucho, o la mayor parte del tiempo""}","[0]"
"","1238.7999999970198","DASS21_020","DASS21","survey-multi-choice","31","45211","0.0-39.0-0.0","{""Q0"":""Tuve miedo sin razón.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1341.7000000029802","DASS21_021","DASS21","survey-multi-choice","32","46554","0.0-40.0-0.0","{""Q0"":""Sentí que la vida no tenía ningún sentido.""}","{""Q0"":"" Me ha ocurrido mucho, o la mayor parte del tiempo""}","[0]"
