"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order"
"[{""page_index"":0,""viewing_time"":779}]","779","Instructions_001","DASS21","instructions","11","13840","0.0-19.0-0.0","","",""
"","1566.7999999970198","DASS21_001","DASS21","survey-multi-choice","12","15410","0.0-20.0-0.0","{""Q0"":""Me ha costado mucho descargar la tensión.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1241.7999999970198","DASS21_002","DASS21","survey-multi-choice","13","16654","0.0-21.0-0.0","{""Q0"":""Me di cuenta que tenía la boca seca.""}","{""Q0"":"" Me ha ocurrido un poco, o durante parte del tiempo""}","[0]"
"","1182.5999999940395","DASS21_003","DASS21","survey-multi-choice","14","17837","0.0-22.0-0.0","{""Q0"":""No podía sentir ningún sentimiento positivo.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1250.7999999970198","DASS21_004","DASS21","survey-multi-choice","15","19090","0.0-23.0-0.0","{""Q0"":""Se me hizo difícil respirar.""}","{""Q0"":"" Me ha ocurrido mucho, o la mayor parte del tiempo""}","[0]"
"","1255.7999999970198","DASS21_005","DASS21","survey-multi-choice","16","20349","0.0-24.0-0.0","{""Q0"":""Se me hizo difícil tomar la iniciativa para hacer cosas.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","1625.9000000059605","DASS21_006","DASS21","survey-multi-choice","17","21977","0.0-25.0-0.0","{""Q0"":""Reaccioné exageradamente en ciertas situaciones.""}","{""Q0"":"" Me ha ocurrido mucho, o la mayor parte del tiempo""}","[0]"
"","1956.1000000089407","DASS21_007","DASS21","survey-multi-choice","18","23938","0.0-26.0-0.0","{""Q0"":""Sentí que mis manos temblaban.""}","{""Q0"":"" Me ha ocurrido un poco, o durante parte del tiempo""}","[0]"
"","1782.5999999940395","DASS21_008","DASS21","survey-multi-choice","19","25723","0.0-27.0-0.0","{""Q0"":""He sentido que estaba gastando una gran cantidad de energía.""}","{""Q0"":"" Me ha ocurrido mucho, o la mayor parte del tiempo""}","[0]"
"","1956.4000000059605","DASS21_009","DASS21","survey-multi-choice","20","27682","0.0-28.0-0.0","{""Q0"":""Estaba preocupado por situaciones en las cuales podía tener pánico o en las que podría hacer el ridículo.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","2054.0999999940395","DASS21_010","DASS21","survey-multi-choice","21","29738","0.0-29.0-0.0","{""Q0"":""He sentido que no había nada que me ilusionara.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","2126.8999999910593","DASS21_011","DASS21","survey-multi-choice","22","31868","0.0-30.0-0.0","{""Q0"":""Me he sentido inquieto.""}","{""Q0"":"" Me ha ocurrido un poco, o durante parte del tiempo""}","[0]"
"","2082.5999999940395","DASS21_012","DASS21","survey-multi-choice","23","33953","0.0-31.0-0.0","{""Q0"":""Se me hizo difícil relajarme.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","2143","DASS21_013","DASS21","survey-multi-choice","24","36100","0.0-32.0-0.0","{""Q0"":""Me sentí triste y deprimido.""}","{""Q0"":"" Me ha ocurrido un poco, o durante parte del tiempo""}","[0]"
"","2104.7000000029802","DASS21_014","DASS21","survey-multi-choice","25","38208","0.0-33.0-0.0","{""Q0"":""No toleré nada que no me permitiera continuar con lo que estaba haciendo.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","1351.7000000029802","DASS21_015","DASS21","survey-multi-choice","26","39562","0.0-34.0-0.0","{""Q0"":""Sentí que estaba al punto de pánico.""}","{""Q0"":"" Me ha ocurrido un poco, o durante parte del tiempo""}","[0]"
"","1210","DASS21_016","DASS21","survey-multi-choice","27","40773","0.0-35.0-0.0","{""Q0"":""No me pude entusiasmar por nada.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1178.2999999970198","DASS21_017","DASS21","survey-multi-choice","28","41952","0.0-36.0-0.0","{""Q0"":""Sentí que valía muy poco como persona.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","1306.4000000059605","DASS21_018","DASS21","survey-multi-choice","29","43261","0.0-37.0-0.0","{""Q0"":""He tendido a sentirme enfadado con facilidad.""}","{""Q0"":"" Me ha ocurrido bastante, o durante una buena parte del tiempo""}","[0]"
"","1315","DASS21_019","DASS21","survey-multi-choice","30","44577","0.0-38.0-0.0","{""Q0"":""Sentí los latidos de mi corazón a pesar de no haber hecho ningún esfuerzo físico.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","1327.2999999970198","DASS21_020","DASS21","survey-multi-choice","31","45906","0.0-39.0-0.0","{""Q0"":""Tuve miedo sin razón.""}","{""Q0"":"" No me ha ocurrido""}","[0]"
"","1376.0999999940395","DASS21_021","DASS21","survey-multi-choice","32","47283","0.0-40.0-0.0","{""Q0"":""Sentí que la vida no tenía ningún sentido.""}","{""Q0"":"" Me ha ocurrido mucho, o la mayor parte del tiempo""}","[0]"
